0Dreamstars.ModTranslation-name|模组翻译
THE SHAW|大黄蜂
Shaw|大黄蜂
The Shaw|大黄蜂
A dream remains a dream if it never comes true.\nUnfortunately, your dream will never come true.\nSorry from Team Cherrybomb.|丝之鸽还是鸽了。
Colosseum Rubicon|虚空万神殿

//3120035228
cloudtailmod-description|作为觅食者——一只饕餮的后裔，探索这片冰冻的荒原！
The Forager|觅食者
THE FORAGER|觅食者
Forager|觅食者
A glutton capable of impressive mobility. Pride and indignance bring you to these frozen lands,<LINE>but surviving this expedition will require wits, tenacity, and use of your many tactical advantages.|一个暴食者，行动能力惊人。骄傲与愤怒将你带到这寒霜之地，<LINE>但要想在这次探险中幸存下来，需要智慧、坚韧和利用你的诸多战术优势。
Seeking to prove their worth and hone their skills,<LINE>the Forager sets out into the cold once more|为了证明自己的价值并磨练自己的技能，<LINE>觅食者再次进入严寒。

//3122525868
aqueducts-description|一个链接海岸线和天空群岛的巨大区域。建议使用猎手游玩，渡槽中的战斗是一项巨大挑战。
Aqueducts|渡槽
Oceanic Aqueduct|海洋渡槽
Overgrown Aqueduct|繁盛渡槽
Great filter|宏过滤器
Storerooms|石屋
Shell|外壳
Rotten pipes|腐化管道
WARNING! grave danger awaits the unprepared (Hunter difficulty reccommended)|警告!毫无准备的下场是习乙为常(推荐使用猎手)

//3124136312
RW.JRoads-description|一个添加了三个全新战役的模组，改变了一些区域和怪猫恋爱模拟器的内容。
Traveller|旅者
TRAVELLER|旅者
The Traveller|旅者
THE TRAVELLER|旅者
White lizards will be jealous.|白蜥蜴会嫉妒你的。
Lighter|白夜
LIGHTER|白夜
The Lighter|白夜
THE LIGHTER|白夜
Strong aquatic predator. looks for all sorts of shiny objects underwater.|强壮的水生捕食者，热衷于寻找各种闪亮的物件。
Love|协调
LOVE|协调
The Love|协调
THE LOVE|协调
She would like to restore harmony throughout the world..|她想恢复世界之协调...
Green Fields|碧绿原野
Mossy Construction|藓泛构造
Overgrown Valley|繁茂山谷
Blooming Islands|绽放岛屿
Flooded Thickets|洪没灌丛
The East|东缘
Heavenly Heights|天空高地
Overgrown Heights|繁茂高地
STOP FALLING DOWN|不再下落
HELP ME THERES SO MANY DADDY LONG LEGS|救命全是蓝香菇

//3140380309
//没有modinfo，不翻译。
Rotten City|腐化都市
Twisted Tower|扭曲之塔
Writhing Carpet|苦痛地表
The Breach|裂隙

//3221585921
bio-description|嘿！生物工程中心重新上传了！现在它是一个功能齐全的新区域，有120多个屏幕。没有突然的死胡同，它完全兼容（也许）任何模组。<LINE>这仍然是我的第一个区域，所以请不要过于苛责它。希望你喜欢！:3<LINE>（推荐入口在郊区，现在连接到了SU_B08）
Bioengineering Center|生物工程中心

//3139436454
nyctophobia-description|一个添加了3只全新蛞蝓猫的模组，每只都拥有专属能力和非常隐秘的剧情，让我看看你是否恐惧黑暗……
Exile|流放者
Night Walker|夜行客
Witness|见证者
EXILE|流放者
NIGHT WALKER|夜行客
WITNESS|见证者
THE EXILE|流放者
THE NIGHT WALKER|夜行客
THE WITNESS|见证者
The Exile|流放者
The Night Walker|夜行客
The Witness|见证者
Domestic Slugcat|家养蛞蝓猫
A powerful slugcat that consumes the vitality of its enemies, its journey is solitary and confusing. <LINE> Will you be able to find your way back or perhaps you will meet your ultimate death after so long?|一只能够消耗敌人的生命力的强大蛞蝓猫，它的旅程孤独而迷茫。<LINE>你能找到回去的路吗？或是在度过漫长的时间后终将面临死亡？
An extremely agile omnivore, although this sometimes works against him<LINE>he does not like to be alone and prefers to be accompanied by others of his kind|一种极其敏捷的杂食动物，但这有时会对它不利。<LINE>它不喜欢独处，喜欢与其他同类为伴。
Dark Density|黑暗浓云
The Abyss|深渊
Eight Scarlet Pillars (Internal Structure)|赤色八柱（内部结构）
Cold Urban|寒冷郊区
Icy Garbage|冰雪废料
The Bastion|堡垒

//3147907848
myr.moss_fields-description|探索一片远离已知领域的葱郁丛林。苔藓原野与遥远海岸相连。
Moss Fields|苔藓原野

//3156584472
mojosoup.sloptown-description|增加了一个连接农场阵列和排水系统的潮湿区域。
Purification Conduits|净化管道
Sterile Waterworks|消毒水厂
SLOPTOWN|滑坡镇

//3160055604
//备注-已下架，暂无法翻译简介
pocky-raisin.disarray-name|混沌
pocky-raisin.disarray-description
The Defender|捍卫者
THE DEFENDER|捍卫者
Defender|捍卫者
The Stuntman|特技手
THE STUNTMAN|特技手
Stuntman|特技手
WIP|未完成
A frail yet nimble acrobat from afar, armed only with their electricity and agility.<LINE>The world around you is chaotic and harsh, and your journey will require great caution and perseverance.|虚弱的远客，以力量与敏捷见长。<LINE>这是一个混沌的世界，你需要超常的谨慎与毅力。
Game Over - Press SPACE to restart, or find a way to escape|游戏结束 - 按“暂停键”重新开始，或是找到逃脱的方法
Once prepared to pounce, hold DOWN to leap upwards.|准备好猛扑后，按住“下”以向上跳跃。
Whilst clinging to a wall, press JUMP to push yourself upwards.|附着在墙壁上时，按下“跳跃”以将自己向上推进。
WhiIst jumping, press GRAB to boost-flip.|跳跃时，按下“抓取”以推进空翻。

//3162052689
sov-description|这个模组可能充满各种问题，请随时在steam页面上向我报告任何错误！
The Sovereign|君王
THE SOVEREIGN|君王
Sovereign|君王
Small, fast, and fragile, The Sovereign searches for guidance in the darkness...|轻敏而脆弱，君王在黑暗中寻找指引...

//3162153171
//备注-已下架，暂无法翻译简介
Forgotten Pathway|遗忘小径

//3162697023
radiosphere-description|这是我决定制作的第一个区域。冒险深入到寒冷空旷的无线电层荒原，希望你不要在这里饿死。<LINE>感谢来自RW academy的@avocado999,neoncityrain and XenomporhicDNA, Eli以及所有游戏测试人员的帮助！<LINE>入口位于LF_D07，回响左侧。
The radiosphere|无线电层
The pits |坑洞
The plateau|高原
The barrier|屏障
Northern sealine|北海岸线
//3167884445
Frosted Factory|寒霜工厂
KELP ME|红树警告
Overgrown Facility|繁茂设施

//3166938192
//备注-已下架？暂无法翻译简介
Spore Factory|孢子工厂
Grand Reservoir|恢弘水库
East Garrison|东部要塞
Hidden Excursion|幽匿之旅
Over Underworld|黄泉之上

//3176420236
sp3.SL-LM-name|海岸线/仰望皓月扩展
sp3.SL-LM-description|海岸线和海滨设施之间的拓展，以及从浸没巨构恢复仰望皓月的深处部分。

//3176454319
scaggytowny-description|这是有史以来最棒的区域，如果你不同意，那一定是你的错！（感谢solar的QQ tower8，感谢Storm让Jerry获得了他（仍在开发中的）真正力量）
You shouldnt be here...|你不应该在此...
Scaggytown|荒凉小镇
Yeek Safe Space|呼号者安全区

//3178516926
fluffball.expeditionregionsupport-description|【BETA】允许模组区域在冒险模式中随机生成。
SETTINGS|设定
REGION FILTER|区域筛选器
FiIter spawnable region categories when randomising|筛选可开始探险的区域
VaniIIa Regions|原版区域
More SIugcats Regions|更多蛞蝓猫区域
Custom Regions|自定义区域
Vlsited Regions Only|仅到访过的区域
Enable Shelter Detection|启用庇护所检测
ReIoad Expedition Files|重载探险文件
Restore Defaults|恢复默认
Customize Spawns|调整生成

//3204490481
//已下架，暂无法翻译简介
Crystal Cave|水晶洞窟

//3201890841
cloakedslugcat-description|还在开发中，未来会添加更多东西，顺便说一句你需要dress my slugcat来添加更多东西，感谢Magicajaphet！（珍珠代码）
The Cloaked|潜影
THE CLOAKED|潜影
Cloaked|潜影
Lost and alone, you don a cloak of an old friend.<LINE>On your journey, you will face hardships to find home.|迷失在孤寂之地，从一位旧友处获得潜形匿影的能力。<LINE>在你的旅途中，你将面临艰难险阻，最终到达故乡。

//3208866964
//已下架，暂无法翻译简介
THE DRAGON SLAYER|屠龙者
DRAGON SLAYER|屠龙者
The DRAGON SLAYER|屠龙者
The Dragon Slayer|屠龙者
Dragon Slayer|屠龙者
An unemployed warrior, both protector and executioner. Lost in a moist and even more wetter land, you must make your own way, with your right arm and numerous legs as your deadliest assets.|迷失的战士，杀戮与守护并存。迷失在一片潮湿的土地上，你必须跨越艰难险阻，右臂和无数的腿是你所拥有的致命武器。

//3208928895
BEST.MOD.EVER-description|我非常狂拽酷炫吊炸天的20个区域和10个蛞蝓猫的测试版本！！！仍在开发中！！！
THE VERY COLL SLUGCAT!|帅逼
Very Cool Slugcat!|帅逼
The Very Cool Slugcat!|帅逼
The COOLEST slugcat ever!!! You have to play it now!!!|帅就对了！走过路过不要错过！！！
MY COOL REGION!!!|酷腿（迫真）

//3212425005
Spearslug-name|投矛手
Spearslug-description|结合了矛大师和求生者。在拓展页面内有详情和自定义。感谢Rinjay的画作。

Spearslug|投矛手
SPEARSLUG|投矛手
The Spearslug|投矛手
THE SPEARSLUG|投矛手
The SPEARSLUG|投矛手
A hybrid between organic and artificial.|自然与人工之混杂。

//3213500658
budgermination-description|一只远道而来的蛞蝓狐，肩负着沉重而致命的使命……
You have come a long way, carrying a heavy and fatal mission.<LINE> Please ensure your own safety while helping others.<LINE> The only one who depends on you is waiting for your victorious return in the distance...You have come a long way, carrying a heavy and fatal mission.<LINE> Please ensure your own safety while helping others.<LINE> The only one who depends on you is waiting for your victorious return in the distance...|远道而来的你，肩负着沉重而致命的任务......<LINE>在帮助他人之时，请谨记自己的安危。<LINE>唯一需要你的那个它，正等着你从渺远之处归来......
Despite being well aware of the dangers of the world, and despite realizing that all efforts may be in vain,<LINE> you still choose to embark on the adventure...|尽管深知世界危险不尽，尽管努力可能化为徒劳，<LINE>你仍旧义无反顾，踏上征途...

//3214959999
midnightmeadows-description|五块卵石附近遍布小鸟的山顶。
Discord Lightmeadows|嘈杂光甸
Midnight Meadows|午夜草甸
Frigid Fields|寒霜田野

//3215514412
deszcworlde-name|遥远传说
deszcworlde-description|建议使用求生者游玩。<LINE>区域制作中，敬请期待。

Fragile Flats|破碎平原
Outer Outskirts|外郊区

//3215860805
reclaimingentropy-description|仍在制作中！！！查看steamdescription.txt获知更多详情 :)
The Matriarch|族长
THE MATRIARCH|族长
Matriarch|族长
MATRIARCH|族长
PLACEHOLDER scug that starts in the postsaint worldstate|在圣徒之后的世界中开始游玩。
PLACEHOLDER|占位符
An ancient legend calls you to a familiar, faraway land<LINE>to establish a new home for your kind. With your three companions,<LINE>offspring and apprentices both, you will lead the future of your species.|一个古老的传说召唤你到一个熟悉的，遥远的土地，<LINE>你与你的三名同伴——后裔以及两位学徒一起<LINE>为你的族群开辟一个新的家园。你将领导你们一族的未来。
Withstanding Factory|垒郁工厂
Sunlit Alleyways|日耀巷道
Suburban Outpost|郊外哨所
Pipegrave|管道坟茔
Crumpled Scaffolding|损毁支架
Smokestack Treetop|烟掩树梢
The Stump|残桩
Aquifer Tunnels|水浸隧道
Melting Depths|熔融深渊
Farflung Beach|渺远海滩
Nascent Woods|新生森林
Fallen Spires|陨落尖塔
Rusted Basin|锈蚀湾流
Gloomy Marshland|阴郁泽滩
The Undergrowth|地底密林
Heart of the Jungle|密林核心

//3217841693
//已下架，暂无法翻译简介
The Scrap|破碎
THE SCRAP|破碎
Scrap|破碎
A garble of metal scrap gathered by a particularly large neuron fly.|由神经元所簇集的一团金属。
